Symbol,Security Name,Industry
3MINDIA,3M India Ltd.,TRADING
8KMILES,8K Miles Soft Services Ltd.,COMPUTERS - SOFf WARE
AARTIDRUGS,Aarti Drugs Ltd.,PHARMACEUTICALS
AARTIIND,Aarti Industries Ltd.,CHEMICALS - SPECIALITY
ABAN,Aban Offshore Ltd.,OIL   EXPLORATION/PRODUCTION
ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT
ABFRL,Aditya Birla Fashion and Retail Ltd.,MISCELLANEOUS
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS
ADANIENT,Adani Enterprises Ltd.,TRADING
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING
ADANIPOWER,Adani Power Ltd.,POWER
ADANITRANS,Adani Transmission Ltd.,POWER
AEGISCHEM,Aegis Logistics Ltd.,PETROCHEMICALS
AHLUCONT,Ahluwalia Contracts (India) Ltd.,CONSTRUCTION
AIAENG,AIA Engineering Ltd.,ELECTRICAL EQUIPMENT
AIL,Alstom India Ltd.,ELECTRICAL EQUIPMENT
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMACEUTICALS
AKZOINDIA,Akzo Nobel India Ltd.,PAINTS
ALBK,Allahabad Bank,BANKS
ALLCARGO,Allcargo Logistics Ltd.,TRAVEL AND TRANSPORT
ALOKTEXT,Alok Industries Ltd.,TEXTILE PRODUCTS
ALSTOMT&D,Alstom T&D India Ltd.,ELECTRICAL EQUIPMENT
AMARAJABAT,Amara Raja Batteries Ltd.,AUTO ANCILLARIES
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS
AMTEKAUTO,Amtek Auto Ltd.,AUTO ANCILLARIES
ANANTRAJ,Anant Raj Ltd.,CONSTRUCTION
ANDHRABANK,Andhra Bank,BANKS
APARINDS,Apar Industries Ltd.,ELECTRICAL EQUIPMENT
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMACEUTICALS
APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS
APOLLOTYRE,Apollo Tyres Ltd.,TYRES
ARVIND,Arvind Ltd.,TEXTILE PRODUCTS
ASHIANA,Ashiana Housing Ltd.,CONSTRUCTION
ASHOKA,Ashoka Buildcon  Ltd.,CONSTRUCTION
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS
ASIANPAINT,Asian Paints Ltd.,PAINTS
ASTRAL,Astral Poly Technik Ltd.,PLASTIC AND PLASTIC PRODUCTS
ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMACEUTICALS
ATUL,Atul Ltd.,CHEMICALS - SPECIALITY
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS
AXISBANK,Axis Bank Ltd.,BANKS
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS
BAJAJCORP,Bajaj Corp Ltd.,PERSONAL CARE
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER DURABLES
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE
BAJAJHIND,Bajaj Hindu sthan Sugar Ltd.,SUGAR
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE
BAJFINANCE,Bajaj Finance Ltd.,FINANCE
BALKRISIND,Balkrishna Industries Ltd.,TYRES
BALLARPUR,Ballarpur Industries Ltd.,PAPER AND PAPER PRODUCTS
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,TRAVEL AND TRANSPORT
BALRAMCHIN,Balrampur Chini Mills Ltd.,SUGAR
BANKBARODA,Bank of Baroda,BANKS
BANKlNDIA,Bank oflndia,BANKS
BASF,BASF India Ltd.,CHEMICALS - SPECIALITY
BATAINDIA,Bata India Ltd.,LEATHER AND LEATHER PRODUCTS
BBTC,Bombay Burmah Trading Corporation Ltd.,FOOD AND FOOD PROCESSING
BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL
BEML,BEML Ltd.,ENGINEERING
BERGEPAINT,Berger Paints India Ltd.,PAINTS
BFUTILITIE,BF Utilities Ltd.,CONSTRUCTION
BGRENERGY,BGR Energy Systems Ltd,ENGINEERING
BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT
BHUSANSTL,Bhushan Steel Ltd.,STEEL AND STEEL PRODUCTS
BIOCON,Biocon Ltd.,PHARMACEUTICALS
BIRLACORPN,Birla Corporation Ltd.,CEMENT AND CEMENT PRODUCTS
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMACEUTICALS
BLUEDART,Blue Dart Express Ltd.,TRAVEL AND TRANSPORT
BLUESTARCO,Blue Star Ltd.,AIRCONDITIONERS
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES
BRFL,Bombay Rayon Fashions Ltd.,TEXTILE PRODUCTS
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION
BRITANNIA,Britannia Indu stries Ltd.,FOOD AND FOOD PROCESSING
CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS
CAIRN,Cairn India Ltd.,OIL   EXPLORATION/PRODUCTION
CANBK,Canara Bank,BANKS
CANFINHOME,Can Fin Homes Ltd.,FINANCE - HOUSING
CAPF,Capital First Ltd.,FINANCE
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMACEUTICALS
CARERATING,CARE Ltd.,FINANCE
CASTEXTECH,Castex Technologies Ltd.,AUTO ANCILLARIES
CASTROLIND,Castro! India Ltd.,PETROCHEMICALS
CCL,CCL Products (I) Ltd.,TEA AND COFFEE
CEATLTD,Ceat Ltd.,TYRES
CENTRALBK,Central Bank of India,BANKS
CENTURYPLY,Century Plyboards (India) Ltd.,CONSTRUCTION
CENTURYTEX,Century Textile & Industries Ltd.,CEMENT AND CEMENT PRODUCTS
CERA,Cera Sanitaryware Ltd,CERAMICS AND SANITARYWARE
CESC,CESC Ltd.,POWER
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS
CLNINDIA,Clariant Chemicals (India) Ltd.,DYES AND PIGMENTS
COALINDIA,Coal India Ltd.,MINING
COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE
CONCOR,Container Corporation  of India Ltd.,TRAVEL AND TRANSPORT
COROMANDEL,Coromandel International Ltd.,FERTILISERS
CORPBANK,Corporation Bank,BANKS
COX&KINGS,Cox & Kings Ltd.,TRAVEL AND TRANSPORT
CRISIL,CRISIL Ltd.,FINANCE
CUB,City Union Bank Ltd.,BANKS
CUMMINSIND,Cwnmins India Ltd.,DIESEL ENGINES
CYIENT,Cyient Ltd.,COMPUTERS - SOFf WARE
DABUR,Dabur India Ltd.,PERSONAL CARE
DALMIABHA,Dalmia Bharat Ltd.,CEMENT AND CEMENT PRODUCTS
DBCORP,D.B.Corp Ltd.,PRINTING AND PUBLISHING
DBREALTY,D B Realty Ltd.,CONSTRUCTION
DCBBANK,DCB Bank Ltd.,BANKS
DCMSHRIRAM,DCM Shrirarn Ltd.,DIVERSIFIED
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS - INORGANIC
DELTACORP,Delta Corp Ltd.,CONSTRUCTION
DEN,Den Networks Ltd.,MEDIA & ENTERTAINMENT
DENABANK,Dena Bank,BANKS
DHANUKA,Dhanuka Agritech Ltd.,PESTICIDES AND AGROCHEMICALS
DHFL,Dewan Housing Finance Corporation Ltd.,FINANCE - HOUSING
DISHMAN,"Dishman Pharmaceutical s &
Chemicals Ltd.",PHARMACEUTICALS
DISHTV,Dish TV India Ltd.,MEDIA & ENTERTAINMENT
DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS
DLF,DLF Ltd.,CONSTRUCTION
DREDGECORP,Dredging Corporation of India Ltd.,SHIPPING
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS
DYNAMATECH,Dynarnatic Technologies Ltd.,AUTO ANCILLARIES
ECLERX,eClerx Services Ltd.,COMPUTERS - SOFf WARE
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCE
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS
EIHOTEL,EIH Ltd.,HOTELS
ELECTCAST,Electrosteel Castings Ltd.,CASTINGS/FORGINGS
ELGIEQUIP,Elgi Equipments Ltd.,COMPRESSORS / PUMPS
EMAMILTD,Emami Ltd.,PERSONAL CARE
ENGINERSIN,Engineers India Ltd.,ENGINEERING
EROSMEDIA,Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT
ESCORTS,Escorts Ltd.,AUTOMOBILES - 4 WHEELERS
ESSDEE,Ess Dee Aluminium Ltd.,PACKAGING
ESSELPACK,Essel Propack Ltd.,PACKAGING
EVEREADY,Eveready Industries India Ltd.,ELECTRICAL EQUIPMENT
EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES
FAGBEARING,Fag Bearings India Ltd.,BEARINGS
FCEL,Future Consumer Enterprise Ltd.,MISCELLANEOUS
FDC,FDC Ltd.,PHARMACEUTICALS
FEDERALBNK,Federal Bank Ltd.,BANKS
FINANTECH,Financial Technologies (India) Ltd.,COMPUTERS - SOFTWARE
FINCABLES,Finolex Cables Ltd.,CABLES - POWER
FINPIPE,Finolex Industries Ltd.,PLASTIC AND PLASTIC PRODUCTS
FLFL,Future Lifestyle Fashions Ltd.,MISCELLANEOUS
FORTIS,Fortis Healthcare Ltd.,MISCELLANEOUS
FSL,Firstsource Solutions Ltd.,COMPUTERS - SOFTWARE
GAIL,GAIL (India) Ltd.,GAS
GATI,Gati Ltd.,TRAVEL AND TRANSPORT
GAYAPROJ,Gayatri Projects Ltd.,CONSTRUCTION
GDL,Gateway Distriparks Ltd.,TRAVEL AND TRANSPORT
GESHIP,Great Eastern Shipping Co. Ltd.,SHIPPING
GILLETTE,Gillette India Ltd.,PERSONAL CARE
