Symbol,Security Name,Industry
360ONE,360 ONE WAM Ltd.,Financial Services
3MINDIA,3M India Ltd.,Diversified
ABB,ABB India Ltd.,Capital Goods
ACC,ACC Ltd.,Construction Materials
AIAENG,AIA Engineering Ltd.,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods
AUBANK,AU Small Finance Bank Ltd.,Financial Services
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare
AARTIIND,Aarti Industries Ltd.,Chemicals
AAVAS,Aavas Financiers Ltd.,Financial Services
ABBOTINDIA,Abbott India Ltd.,Healthcare
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER,Adani Power Ltd.,Power
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ADANITRANS,Adani Transmission Ltd.,Power
AWL,Adani Wilmar Ltd.,Fast Moving Consumer Goods
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services
AEGISCHEM,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AETHER,Aether Industries Ltd.,Chemicals
AFFLE,Affle (India) Ltd.,Information Technology
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare
ALKEM,Alkem Laboratories Ltd.,Healthcare
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals
AMARAJABAT,Amara Raja Batteries Ltd.,Automobile and Auto Components
AMBER,Amber Enterprises India Ltd.,Consumer Durables
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
ANGELONE,Angel One Ltd.,Financial Services
APARINDS,Apar Industries Ltd.,Capital Goods
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services
ACI,Archean Chemical Industries Ltd.,Chemicals
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
ASTERDM,Aster DM Healthcare Ltd.,Healthcare
ASTRAL,Astral Ltd.,Capital Goods
ATUL,Atul Ltd.,Chemicals
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare
DMART,Avenue Supermarts Ltd.,Consumer Services
AXISBANK,Axis Bank Ltd.,Financial Services
BASF,BASF India Ltd.,Chemicals
BEML,BEML Ltd.,Capital Goods
BLS,BLS International Services Ltd.,Consumer Services
BSE,BSE Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BALAMINES,Balaji Amines Ltd.,Chemicals
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BANDHANBNK,Bandhan Bank Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BANKINDIA,Bank of India,Financial Services
MAHABANK,Bank of Maharashtra,Financial Services
BATAINDIA,Bata India Ltd.,Consumer Durables
BAYERCROP,Bayer Cropscience Ltd.,Chemicals
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables
BDL,Bharat Dynamics Ltd.,Capital Goods
BEL,Bharat Electronics Ltd.,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Capital Goods
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
BIOCON,Biocon Ltd.,Healthcare
BIRLACORPN,Birla Corporation Ltd.,Construction Materials
BSOFT,Birlasoft Ltd.,Information Technology
BLUEDART,Blue Dart Express Ltd.,Services
BLUESTARCO,Blue Star Ltd.,Consumer Durables
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
BORORENEW,Borosil Renewables Ltd.,Capital Goods
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
BRIGADE,Brigade Enterprises Ltd.,Realty
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CESC,CESC Ltd.,Power
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods
CRISIL,CRISIL Ltd.,Financial Services
CSBBANK,CSB Bank Ltd.,Financial Services
CAMPUS,Campus Activewear Ltd.,Consumer Durables
CANFINHOME,Can Fin Homes Ltd.,Financial Services
CANBK,Canara Bank,Financial Services
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels
CEATLTD,Ceat Ltd.,Automobile and Auto Components
CENTRALBK,Central Bank of India,Financial Services
CDSL,Central Depository Services (India) Ltd.,Financial Services
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables
CENTURYTEX,Century Textile & Industries Ltd.,Forest Materials
CERA,Cera Sanitaryware Ltd,Consumer Durables
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHEMPLASTS,Chemplast Sanmar Ltd.,Chemicals
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,Cipla Ltd.,Healthcare
CUB,City Union Bank Ltd.,Financial Services
CLEAN,Clean Science and Technology Ltd.,Chemicals
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods
COFORGE,Coforge Ltd.,Information Technology
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CAMS,Computer Age Management Services Ltd.,Financial Services
CONCOR,Container Corporation of India Ltd.,Services
COROMANDEL,Coromandel International Ltd.,Chemicals
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components
CREDITACC,CreditAccess Grameen Ltd.,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CUMMINSIND,Cummins India Ltd.,Capital Goods
CYIENT,Cyient Ltd.,Information Technology
DCMSHRIRAM,DCM Shriram Ltd.,Diversified
DLF,DLF Ltd.,Realty
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals
DELHIVERY,Delhivery Ltd.,Services
DELTACORP,Delta Corp Ltd.,Consumer Services
DEVYANI,Devyani International Ltd.,Consumer Services
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
EIDPARRY,E.I.D. Parry (India) Ltd.,Chemicals
EIHOTEL,EIH Ltd.,Consumer Services
EPL,EPL Ltd.,Capital Goods
EASEMYTRIP,Easy Trip Planners Ltd.,Consumer Services
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components
ENGINERSIN,Engineers India Ltd.,Construction
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services
