Symbol,Security Name,Industry
3MINDIA,3M India Ltd.,CONSUMER GOODS
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING
POWERINDIA,ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING
APLAPOLLO,APL Apollo Tubes Ltd.,METALS
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES
AARTIDRUGS,Aarti Drugs Ltd.,PHARMA
AARTIIND,Aarti Industries Ltd.,CHEMICALS
AAVAS,Aavas Financiers Ltd.,FINANCIAL SERVICES
ABBOTINDIA,Abbott India Ltd.,PHARMA
ADANIENT,Adani Enterprises Ltd.,METALS
ADANIGREEN,Adani Green Energy Ltd.,POWER
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES
ATGL,Adani Total Gas Ltd.,OIL & GAS
ADANITRANS,Adani Transmission Ltd.,POWER
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS
AEGISCHEM,Aegis Logistics Ltd.,SERVICES
AFFLE,Affle (India) Ltd.,IT
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS
ALEMBICLTD,Alembic Ltd.,PHARMA
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA
ALKEM,Alkem Laboratories Ltd.,PHARMA
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,CHEMICALS
ALOKINDS,Alok Industries Ltd.,TEXTILES
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE
AMBER,Amber Enterprises India Ltd.,CONSUMER GOODS
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS
ANGELBRKG,Angel Broking Ltd.,FINANCIAL SERVICES
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE
