Symbol,Security Name,Industry
3MINDIA,3M India Ltd.,SERVICES
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING
APLAPOLLO,APL Apollo Tubes Ltd.,METALS
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES
AARTIIND,Aarti Industries Ltd.,CHEMICALS
AAVAS,Aavas Financiers Ltd.,FINANCIAL SERVICES
ABBOTINDIA,Abbott India Ltd.,PHARMA
ADANIGAS,Adani Gas Ltd.,OIL & GAS
ADANIGREEN,Adani Green Energy Ltd.,POWER
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES
ADANIPOWER,Adani Power Ltd.,POWER
ADANITRANS,Adani Transmission Ltd.,POWER
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS
AEGISCHEM,Aegis Logistics Ltd.,OIL & GAS
AFFLE,Affle (India) Ltd.,IT
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA
ALKEM,Alkem Laboratories Ltd.,PHARMA
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,CHEMICALS
ALLCARGO,Allcargo Logistics Ltd.,SERVICES
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE
AMBER,Amber Enterprises India Ltd.,CONSUMER GOODS
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE
ARVINDFASN,Arvind Fashions Ltd.,CONSUMER GOODS
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE
ASHOKA,Ashoka Buildcon  Ltd.,CONSTRUCTION
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES
ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMA
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING
ATUL,Atul Ltd.,CHEMICALS
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES
BASF,BASF India Ltd.,CHEMICALS
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING
BSE,BSE Ltd.,FINANCIAL SERVICES
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE
BAJAJCON,Bajaj Consumer Care Ltd.,CONSUMER GOODS
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER GOODS
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES
BANKINDIA,Bank oflndia,FINANCIAL SERVICES
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES
BATAINDIA,Bata India Ltd.,CONSUMER GOODS
BAYERCROP,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING
BPCL,Bharat Petroleum Corporation Ltd.,OIL & GAS
BHARATRAS,Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES
BHARTIARTL,Bharti Airtel Ltd.,TELECOM
INFRATEL,Bharti Infratel Ltd.,TELECOM
BIOCON,Biocon Ltd.,PHARMA
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS
BSOFT,Birlasoft Ltd.,IT
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMA
BLUEDART,Blue Dart Express Ltd.,SERVICES
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS
CARERATING,CARE Ratings Ltd.,FINANCIAL SERVICES
CCL,CCL Products (I) Ltd.,CONSUMER GOODS
CESC,CESC Ltd.,POWER
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES
CSBBANK,CSB Bank Ltd.,FINANCIAL SERVICES
CADILAHC,Cadila Healthcare Ltd.,PHARMA
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES
CANBK,Canara Bank,FINANCIAL SERVICES
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA
CEATLTD,Ceat Ltd.,AUTOMOBILE
CENTRALBK,Central Bank of India,FINANCIAL SERVICES
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES
CENTURYPLY,Century Plyboards (India) Ltd.,CONSUMER GOODS
CENTURYTEX,Century Texti l e & Tndustries Ltd.,PAPER
CERA,Cera Sanitaryware Ltd,CONSTRUCTION
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES
CUB,City Union Bank Ltd.,FINANCIAL SERVICES
COALINDIA,Coal India Ltd.,METALS
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS
CONCOR,Container Corporation  of India Ltd.,SERVICES
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES
CREDITACC,CreditAccess Grameen Ltd.,FINANCIAL SERVICES
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING
CYIENT,Cyient Ltd.,IT
DBCORP,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT
DCBBANK,DCB Bank Ltd.,FINANCIAL SERVICES
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS
DLF,DLF Ltd.,CONSTRUCTION
DABUR,Dabur India Ltd.,CONSUMER GOODS
DALBHARAT,Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS
DEEPAKNTR,Deepak Nitrite Ltd.,CHEMICALS
DELTACORP,Delta Corp Ltd.,SERVICES
DHANUKA,Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES
DBL,Dilip Buildcon Ltd.,CONSTRUCTION
DISHTV,Dish TV India Ltd.,MEDIA & ENTERTAINMENT
DCAL,Dishman Carbogen Amcis Ltd.,PHARMA
DIVISLAB,Divi's Laboratories Ltd.,PHARMA
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES
EIHOTEL,EIH Ltd.,SERVICES
ESABINDIA,ESAB India Ltd.,INDUSTRIAL MANUFACTURING
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE
ELGIEQUIP,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING
EMAMILTD,Emami Ltd.,CONSUMER GOODS
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION
EQUITAS,Equitas Holdings Ltd.,FINANCIAL SERVICES
ERIS,Eris Lifesciences Ltd.,PHARMA
ESCORTS,Escorts Ltd.,AUTOMOBILE
ESSELPACK,Essel Propack Ltd.,INDUSTRIAL MANUFACTURING
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE
FDC,FDC Ltd.,PHARMA
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES
FINEORG,Fine Organic Industries Ltd.,CHEMICALS
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING
FINPIPE,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING
FSL,Firstsource Solutions Ltd.,IT
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES
FCONSUMER,Future Consumer Ltd.,CONSUMER GOODS
FRETAIL,Future Retail Ltd.,CONSUMER GOODS
GAIL,GAIL (India) Ltd.,OIL & GAS
GEPIL,GE Power India Ltd.,INDUSTRIAL MANUFACTURING
GET&D,GE T&D India Ltd.,INDUSTRIAL MANUFACTURING
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION
GALAXYSURF,Galaxy Surfactants Ltd.,CHEMICALS
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING
GARFIBRES,Garware Technical Fibres Ltd.,TEXTILES
GICRE,General Insurance Corporation  of India,FINANCIAL SERVICES
GILLETIE,Gillette India Ltd.,CONSUMER GOODS
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION
GRANULES,Granules India Ltd.,PHARMA
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES
GREAVESCOT,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING
GRINDWELL,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,CHEMICALS
GUJGASLTD,Gujarat Gas Ltd.,OIL & GAS
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS
GPPL,Gujarat Pipavav Port Ltd.,SERVICES
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES
GSPL,Gujarat State Petrone! Ltd.,OIL & GAS
GULFOILLUB,Gulf Oil Lubricants India Ltd.,OIL & GAS
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING
HCLTECH,HCL Technologies Ltd.,IT
HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES
HFCL,HFCL Ltd.,TELECOM
HATHWAY,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT
HATSUN,Hatsun Agro Product Ltd.,CONSUMER GOODS
HAVELLS,Havells India Ltd.,CONSUMER GOODS
HEIDELBERG,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS
HERITGFOOD,Heritage Foods Ltd.,CONSUMER GOODS
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE
HEXAWARE,Hexaware Technologies Ltd.,IT
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS
HIMATSEIDE,Himatsingka Seide Ltd.,TEXTILES
HINDALCO,Hindalco Industries Ltd.,METALS
HAL,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING
HINDCOPPER,Hindustan Copper Ltd.,METALS
HINDPETRO,Hindustan Petroleum Corporation Ltd.,OIL & GAS
HINDUNILVR,Hindu stan Unilever Ltd.,CONSUMER GOODS
HINDZINC,Hindu stan Zinc Ltd.,METALS
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES
ISEC,ICICI Securities Ltd.,FINANCIAL SERVICES
ICRA,ICRA Ltd.,FINANCIAL SERVICES
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES
IDFC,IDFC Ltd.,FINANCIAL SERVICES
IFBIND,IFB Industries Ltd.,CONSUMER GOODS
IFCI,IFCI Ltd.,FINANCIAL SERVICES
IIFL,IIFL Finance Ltd.,FINANCIAL SERVICES
IIFLWAM,IIFL Wealth Management Ltd.,FINANCIAL SERVICES
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION
IRCON,IRCON International Ltd.,CONSTRUCTION
ITC,ITC Ltd.,CONSUMER GOODS
ITI,ITI Ltd.,TELECOM
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS
ITDC,India Tourism Development Corporation Ltd.,SERVICES
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES
IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION
IBVENTURES,Indiabulls Ventures Ltd.,FINANCIAL SERVICES
INDIAMART,Indiamart Intermesh Ltd.,CONSUMER GOODS
INDIANB,Indian Bank,FINANCIAL SERVICES
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES
roe,Indian Oil Corporation Ltd.,OIL & GAS
IOB,Indian Overseas Bank,FINANCIAL SERVICES
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,SERVICES
INDOSTAR,IndoStar Capital Finance Ltd.,FINANCIAL SERVICES
INDOCO,Indoco Remedies Ltd.,PHARMA
IGL,Indraprastha Gas Ltd.,OIL & GAS
INDUSINDBK,Indu sind Bank Ltd.,FINANCIAL SERVICES
INFIBEAM,Infibeam Avenues Ltd.,IT
NAUKRI,Info Edge (India) Ltd.,IT
INFY,Infosys Ltd.,IT
INGERRAND,Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING
INOXLEISUR,Inox Leisure Ltd.,MEDIA & ENTERTAINMENT
JKLAKSHMI,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS
JKPAPER,JK Paper Ltd.,PAPER
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES
JSWENERGY,JSW Energy Ltd.,POWER
JSWSTEEL,JSW Steel Ltd.,METALS
JAGRAN,Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT
JAICORPLTD,Jai Corp Ltd.,INDUSTRIAL MANUFACTURING
J&KBANK,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES
JAMNAAUTO,Jamna Auto Industries Ltd.,AUTOMOBILE
JINDALSAW,Jindal Saw Ltd.,METALS
JSLHISAR,Jindal Stainless (Hisar) Ltd.,METALS
JSL,Jindal Stainless Ltd.,METALS
JINDALSTEL,Jindal Steel & Power Ltd.,METALS
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS
JUBILANT,Jubilant Life Sciences Ltd.,PHARMA
JUSTDIAL,Justdial Ltd.,IT
JYOTHYLAB,Jyothy Labs Ltd.,CONSUMER GOODS
KPRMILL,K.P.R. Mill Ltd.,TEXTILES
KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING
KNRCON,KNR Constructions Ltd.,CONSTRUCTION
KPITTECH,KPIT Technologies Ltd.,IT
KRBL,KRBL Ltd.,CONSUMER GOODS
KSB,KSB Ltd.,INDUSTRIAL MANUFACTURING
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION
KALPATPOWR,Kalpataru Power Transmission Ltd.,POWER
KANSAINER,Kansai Nerolac Paints Ltd.,CONSUMER GOODS
KTKBANK,Karnataka Bank Ltd.,FINANCIAL SERVICES
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES
KSCL,Kaveri Seed Company Ltd.,CONSUMER GOODS
KEC,Kee International Ltd.,CONSTRUCTION
KOLTEPATIL,Kolte-Patil Developers Ltd.,CONSTRUCTION
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES
L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES
LITS,L&T Technology Services Ltd.,IT
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES
LAOPALA,La Opala RG Ltd.,CONSUMER GOODS
LAXMIMACH,Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING
LTI,Larsen & Toubro Infotech Ltd.,IT
LT,Larsen & Toubro Ltd.,CONSTRUCTION
LAURUSLABS,Laurus Labs Ltd.,PHARMA
LEMONTREE,Lemon Tree Hotels Ltd.,SERVICES
LINDEINDIA,Linde India Ltd.,CHEMICALS
LUPIN,Lupin Ltd.,PHARMA
LUXIND,Lux Industries Ltd.,TEXTILES
MASFIN,MAS Financial Services Ltd.,FINANCIAL SERVICES
MMTC,MMTC Ltd.,SERVICES
MOIL,MOIL Ltd.,METALS
MRF,MRF Ltd.,AUTOMOBILE
MGL,Mahanagar Gas Ltd.,OIL & GAS
MAHSCOOTER,Maharashtra Scooters Ltd.,AUTOMOBILE
MAHSEAMLES,Maharashtra Seamless Ltd.,METALS
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE
MHRIL,Mahindra Holidays & Resorts India Ltd.,SERVICES
MAHLOG,Mahindra Logistics Ltd.,SERVICES
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES
MRPL,Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS
MARICO,Marico Ltd.,CONSUMER GOODS
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE
